,date,value,type
127,2016-05-11,125.699997,open
127,2016-05-11,124.209999,close
128,2016-05-12,124.440002,open
128,2016-05-12,123.889999,close
129,2016-05-13,123.910004,open
129,2016-05-13,122.970001,close
130,2016-05-14,123.910004,open
130,2016-05-14,122.970001,close
131,2016-05-15,123.910004,open
131,2016-05-15,122.970001,close
132,2016-05-16,123.120003,open
132,2016-05-16,123.910004,close
133,2016-05-17,123.400002,open
133,2016-05-17,123.410004,close
134,2016-05-18,123.220001,open
134,2016-05-18,125.269997,close
135,2016-05-19,124.519997,open
135,2016-05-19,125.120003,close
136,2016-05-20,125.150002,open
136,2016-05-20,125.57,close
137,2016-05-21,125.150002,open
137,2016-05-21,125.57,close
138,2016-05-22,125.150002,open
138,2016-05-22,125.57,close
139,2016-05-23,125.480003,open
139,2016-05-23,125.949997,close
140,2016-05-24,126.129997,open
140,2016-05-24,126.620003,close
141,2016-05-25,127.080002,open
141,2016-05-25,126.459999,close
142,2016-05-26,126.360001,open
142,2016-05-26,126.610001,close
143,2016-05-27,126.510002,open
143,2016-05-27,127.910004,close
144,2016-05-28,126.510002,open
144,2016-05-28,127.910004,close
145,2016-05-29,126.510002,open
145,2016-05-29,127.910004,close
146,2016-05-30,126.510002,open
146,2016-05-30,127.910004,close
147,2016-05-31,128.5,open
147,2016-05-31,128.020004,close
148,2016-06-01,127.669998,open
148,2016-06-01,128.070007,close
149,2016-06-02,127.989998,open
149,2016-06-02,128.75,close
150,2016-06-03,127.809998,open
150,2016-06-03,127.480003,close
151,2016-06-04,127.809998,open
151,2016-06-04,127.480003,close
152,2016-06-05,127.809998,open
152,2016-06-05,127.480003,close
153,2016-06-06,127.699997,open
153,2016-06-06,127.68,close
154,2016-06-07,128.050003,open
154,2016-06-07,129.25,close
155,2016-06-08,128.990005,open
155,2016-06-08,129.029999,close
156,2016-06-09,128.729996,open
156,2016-06-09,129.580002,close
157,2016-06-10,128.869995,open
157,2016-06-10,127.010002,close
158,2016-06-11,128.869995,open
158,2016-06-11,127.010002,close
159,2016-06-12,128.869995,open
159,2016-06-12,127.010002,close
160,2016-06-13,127.099998,open
160,2016-06-13,125.470001,close
161,2016-06-14,124.720001,open
161,2016-06-14,124.959999,close
162,2016-06-15,125.949997,open
162,2016-06-15,124.139999,close
163,2016-06-16,123.339996,open
163,2016-06-16,124.839996,close
164,2016-06-17,124.669998,open
164,2016-06-17,125.330002,close
165,2016-06-18,124.669998,open
165,2016-06-18,125.330002,close
166,2016-06-19,124.669998,open
166,2016-06-19,125.330002,close
167,2016-06-20,126.510002,open
167,2016-06-20,126.269997,close
168,2016-06-21,126.540001,open
168,2016-06-21,127.330002,close
169,2016-06-22,127.089996,open
169,2016-06-22,126.489998,close
170,2016-06-23,127.940002,open
170,2016-06-23,127.650002,close
171,2016-06-24,121.0,open
171,2016-06-24,117.010002,close
172,2016-06-25,121.0,open
172,2016-06-25,117.010002,close
173,2016-06-26,121.0,open
173,2016-06-26,117.010002,close
174,2016-06-27,114.660004,open
174,2016-06-27,113.400002,close
175,2016-06-28,113.809998,open
175,2016-06-28,117.559998,close
176,2016-06-29,118.339996,open
176,2016-06-29,121.0,close
177,2016-06-30,121.360001,open
177,2016-06-30,124.309998,close
178,2016-07-01,124.480003,open
178,2016-07-01,124.0,close
179,2016-07-02,124.480003,open
179,2016-07-02,124.0,close
180,2016-07-03,124.480003,open
180,2016-07-03,124.0,close
181,2016-07-04,124.480003,open
181,2016-07-04,124.0,close
182,2016-07-05,120.190002,open
182,2016-07-05,123.480003,close
183,2016-07-06,123.32,open
183,2016-07-06,124.870003,close
184,2016-07-07,124.279999,open
184,2016-07-07,124.440002,close
185,2016-07-08,126.040001,open
185,2016-07-08,125.059998,close
186,2016-07-09,126.040001,open
186,2016-07-09,125.059998,close
187,2016-07-10,126.040001,open
187,2016-07-10,125.059998,close
188,2016-07-11,125.099998,open
188,2016-07-11,125.519997,close
189,2016-07-12,125.889999,open
189,2016-07-12,127.199997,close
190,2016-07-13,127.610001,open
190,2016-07-13,126.419998,close
191,2016-07-14,127.620003,open
191,2016-07-14,126.040001,close
192,2016-07-15,126.400002,open
192,2016-07-15,124.589996,close
193,2016-07-16,126.400002,open
193,2016-07-16,124.589996,close
194,2016-07-17,126.400002,open
194,2016-07-17,124.589996,close
195,2016-07-18,124.830002,open
195,2016-07-18,123.980003,close
196,2016-07-19,123.199997,open
196,2016-07-19,124.169998,close
197,2016-07-20,124.510002,open
197,2016-07-20,124.0,close
198,2016-07-21,123.68,open
198,2016-07-21,123.330002,close
199,2016-07-22,123.220001,open
199,2016-07-22,123.940002,close
200,2016-07-23,123.220001,open
200,2016-07-23,123.940002,close
201,2016-07-24,123.220001,open
201,2016-07-24,123.940002,close
202,2016-07-25,123.57,open
202,2016-07-25,124.0,close
203,2016-07-26,124.290001,open
203,2016-07-26,123.760002,close
204,2016-07-27,123.830002,open
204,2016-07-27,124.269997,close
205,2016-07-28,124.010002,open
205,2016-07-28,123.739998,close
206,2016-07-29,123.419998,open
206,2016-07-29,123.620003,close
207,2016-07-30,123.419998,open
207,2016-07-30,123.620003,close
208,2016-07-31,123.419998,open
208,2016-07-31,123.620003,close
209,2016-08-01,123.870003,open
209,2016-08-01,123.839996,close
210,2016-08-02,123.610001,open
210,2016-08-02,123.169998,close
211,2016-08-03,123.510002,open
211,2016-08-03,123.82,close
212,2016-08-04,123.559998,open
212,2016-08-04,124.089996,close
213,2016-08-05,121.730003,open
213,2016-08-05,119.919998,close
214,2016-08-06,121.730003,open
214,2016-08-06,119.919998,close
215,2016-08-07,121.730003,open
215,2016-08-07,119.919998,close
216,2016-08-08,119.57,open
216,2016-08-08,120.589996,close
217,2016-08-09,120.290001,open
217,2016-08-09,121.230003,close
218,2016-08-10,121.650002,open
218,2016-08-10,121.82,close
219,2016-08-11,121.860001,open
219,2016-08-11,122.75,close
220,2016-08-12,122.510002,open
220,2016-08-12,121.470001,close
221,2016-08-13,122.510002,open
221,2016-08-13,121.470001,close
222,2016-08-14,122.510002,open
222,2016-08-14,121.470001,close
223,2016-08-15,122.0,open
223,2016-08-15,121.529999,close
224,2016-08-16,121.370003,open
224,2016-08-16,121.480003,close
225,2016-08-17,121.900002,open
225,2016-08-17,121.93,close
226,2016-08-18,121.739998,open
226,2016-08-18,122.559998,close
227,2016-08-19,122.099998,open
227,2016-08-19,122.720001,close
228,2016-08-20,122.099998,open
228,2016-08-20,122.720001,close
229,2016-08-21,122.099998,open
229,2016-08-21,122.720001,close
230,2016-08-22,122.550003,open
230,2016-08-22,122.949997,close
231,2016-08-23,123.239998,open
231,2016-08-23,123.110001,close
232,2016-08-24,123.099998,open
232,2016-08-24,122.209999,close
233,2016-08-25,121.809998,open
233,2016-08-25,122.209999,close
234,2016-08-26,122.580002,open
234,2016-08-26,122.989998,close
235,2016-08-27,122.580002,open
235,2016-08-27,122.989998,close
236,2016-08-28,122.580002,open
236,2016-08-28,122.989998,close
237,2016-08-29,123.150002,open
237,2016-08-29,123.919998,close
238,2016-08-30,124.18,open
238,2016-08-30,123.940002,close
239,2016-08-31,123.989998,open
239,2016-08-31,124.010002,close
240,2016-09-01,124.0,open
240,2016-09-01,124.849998,close
241,2016-09-02,125.5,open
241,2016-09-02,126.529999,close
242,2016-09-03,125.5,open
242,2016-09-03,126.529999,close
243,2016-09-04,125.5,open
243,2016-09-04,126.529999,close
244,2016-09-05,125.5,open
244,2016-09-05,126.529999,close
245,2016-09-06,126.82,open
245,2016-09-06,127.660004,close
246,2016-09-07,127.660004,open
246,2016-09-07,128.550003,close
